Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Spices, pepper, black      2030        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Jackfruit, raw             9144        9.73367256  0.001460    0.007690    2.336081    2.263079    0.000000    9.246989    0.018981    0.000000    0.146005    0.003309    0.022387    0.006716    0.010026    0.006716    2.822765    0.194673    0.008371    0.003309    10.707040   0.000000    0.032024    1.333513    0.000000    0.033094    0.000000    
Milk, fluid, 1% fat, with  1175        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Buckwheat                  20008       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, cumin seed         2014        4.60525532  0.000000    0.000000    42.874927   2.037365    0.000000    17.269707   0.070691    0.000000    0.483552    0.000000    3.056047    0.000000    0.000000    0.000000    16.855234   7.736829    0.000000    0.000000    58.486743   0.000000    0.020033    0.354605    0.000000    0.153355    0.248684    
Chicken, broiler or fryer  5062        5.99462200  0.019003    0.000779    0.299731    0.000000    4.376074    7.193546    0.033750    0.000420    0.000000    0.050295    0.022180    0.066181    0.111560    0.129664    1.678494    2.697580    0.060486    0.016965    1.798387    0.012589    0.048616    0.000000    0.059946    0.033570    0.000000    
Buckwheat flour, whole-gr  20011       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Nuts, cashew nuts, raw     12087       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Cranberries, dried, sweet  9079        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, chili powder       2009        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Nuts, coconut water (liqu  12119       47.6738164  0.000000    0.000000    11.441716   1.768699    0.000000    9.058025    0.083906    0.000000    0.524412    0.008105    0.138254    0.013349    0.025267    0.015256    11.918454   50.057507   0.012395    0.003814    0.000000    0.000000    0.015256    1.144172    0.000000    0.000000    0.000000    
Spices, caraway seed       2005        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, bay leaf           2004        0.25412680  0.000000    0.000000    2.119418    0.190519    0.000000    0.795417    0.005794    0.000000    0.066835    0.000000    0.109275    0.000000    0.000000    0.000000    0.304952    0.058449    0.000000    0.000000    15.717743   0.000000    0.004422    0.118169    0.000000    0.000000    0.000000    
Egg, yolk, raw, fresh      1125        8.76272640  0.000000    0.000000    11.303917   0.314582    95.075582   28.215979   0.836928    0.000000    0.000000    0.036453    0.239222    0.075885    0.122591    0.106642    0.438136    4.206109    0.060200    0.015510    126.358515  0.170873    0.030670    0.000000    19.102744   0.226078    0.061339    
Millet flour               20647       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish, Salmon, pink, canne  15265       12.0250298  0.007215    0.004690    7.215018    0.000000    9.980775    16.354041   0.090067    0.002646    0.000000    0.078403    0.068543    0.137807    0.225710    0.254089    2.886007    45.454613   0.153920    0.031987    7.936520    0.596441    0.012626    0.000000    67.700918   0.153920    0.012025    
