Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Spices, pepper, black      2030        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Jackfruit, raw             9144        9.73367256  0.058558    3.276819    1.592783    6.857815    0.000000    3.502647    0.808835    0.000000    3.318297    1.941861    1.010872    2.903773    1.960899    1.451887    4.811531    0.057710    3.438236    5.437210    0.730025    0.000000    12.843763   10.102372   0.000000    1.504295    0.000000    
Milk, fluid, 1% fat, with  1175        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Buckwheat                  20008       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, cumin seed         2014        4.60525532  0.000000    0.000000    29.232904   6.173833    0.000000    6.541556    3.012386    0.000000    10.989813   0.000000    137.991300  0.000000    0.000000    0.000000    28.730512   2.293526    0.000000    0.000000    3.987732    0.000000    8.034570    2.686399    0.000000    6.970682    1.412976    
Chicken, broiler or fryer  5062        5.99462200  0.762150    0.332088    0.204362    0.000000    14.918434   2.724828    1.438198    0.000420    0.000000    29.511155   1.001510    28.613287   21.819729   28.030136   2.861070    0.799678    24.843538   27.872037   0.122617    3.301234    19.498549   0.000000    0.051091    1.525904    0.000000    
Buckwheat flour, whole-gr  20011       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Nuts, cashew nuts, raw     12087       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Cranberries, dried, sweet  9079        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, chili powder       2009        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
